theta,q,theta_via_q,y_rep
0.57538088,0.78769044,0.57538088,79.0
0.60861555,0.80430777,0.60861555,84.0
0.58625086,0.79312543,0.58625086,77.0
0.68009647,0.84004824,0.68009647,86.0
0.69624403,0.84812202,0.69624403,82.0
0.70377625,0.85188812,0.70377625,82.0
0.69743466,0.84871733,0.69743466,87.0
0.69743466,0.84871733,0.69743466,85.0
0.5188404,0.7594202,0.5188404,67.0
0.66828888,0.83414444,0.66828888,86.0
0.5853772,0.7926886,0.5853772,87.0
0.62541734,0.81270867,0.62541734,87.0
0.6380508,0.8190254,0.6380508,81.0
0.59110789,0.79555395,0.59110789,80.0
0.66660411,0.83330206,0.66660411,88.0
0.59955349,0.79977674,0.59955349,80.0
0.56542286,0.78271143,0.56542286,79.0
0.57419291,0.78709646,0.57419291,81.0
0.62689624,0.81344812,0.62689624,81.0
0.56170964,0.78085482,0.56170964,79.0
0.60914633,0.80457317,0.60914633,83.0
0.58662421,0.79331211,0.58662421,81.0
0.43818691,0.71909346,0.43818691,69.0
0.47233492,0.73616746,0.47233492,73.0
0.47000123,0.73500061,0.47000123,76.0
0.46860897,0.73430448,0.46860897,77.0
0.47934082,0.73967041,0.47934082,78.0
0.48056223,0.74028112,0.48056223,73.0
0.59714998,0.79857499,0.59714998,83.0
0.69955946,0.84977973,0.69955946,86.0
0.71725182,0.85862591,0.71725182,81.0
0.63709026,0.81854513,0.63709026,81.0
0.55858048,0.77929024,0.55858048,74.0
0.62743084,0.81371542,0.62743084,81.0
0.56563627,0.78281813,0.56563627,81.0
0.61401668,0.80700834,0.61401668,90.0
0.55831154,0.77915577,0.55831154,81.0
0.55700299,0.7785015,0.55700299,82.0
0.51962654,0.75981327,0.51962654,74.0
0.52171259,0.76085629,0.52171259,70.0
0.63920062,0.81960031,0.63920062,85.0
0.6359361,0.81796805,0.6359361,83.0
0.64511086,0.82255543,0.64511086,80.0
0.62160134,0.81080067,0.62160134,87.0
0.56361466,0.78180733,0.56361466,76.0
0.55053828,0.77526914,0.55053828,79.0
0.63789457,0.81894728,0.63789457,82.0
0.60644404,0.80322202,0.60644404,81.0
0.6334563,0.81672815,0.6334563,81.0
0.64836244,0.82418122,0.64836244,75.0
0.67004067,0.83502033,0.67004067,83.0
0.53635539,0.7681777,0.53635539,78.0
0.53818394,0.76909197,0.53818394,82.0
0.62793449,0.81396725,0.62793449,83.0
0.71650494,0.85825247,0.71650494,85.0
0.69734844,0.84867422,0.69734844,81.0
0.51877406,0.75938703,0.51877406,79.0
0.56643504,0.78321752,0.56643504,83.0
0.61189127,0.80594564,0.61189127,77.0
0.54078476,0.77039238,0.54078476,76.0
0.51129407,0.75564704,0.51129407,64.0
0.67435831,0.83717916,0.67435831,82.0
0.75390216,0.87695108,0.75390216,89.0
0.49214296,0.74607148,0.49214296,70.0
0.49389163,0.74694582,0.49389163,73.0
0.54219917,0.77109958,0.54219917,78.0
0.64059589,0.82029794,0.64059589,80.0
0.64416861,0.8220843,0.64416861,77.0
0.66281583,0.83140792,0.66281583,86.0
0.64297872,0.82148936,0.64297872,78.0
0.72080165,0.86040082,0.72080165,89.0
0.76445341,0.88222671,0.76445341,94.0
0.64715944,0.82357972,0.64715944,82.0
0.63885323,0.81942661,0.63885323,84.0
0.53247467,0.76623734,0.53247467,85.0
0.60871204,0.80435602,0.60871204,75.0
0.70119381,0.85059691,0.70119381,82.0
0.69852499,0.84926249,0.69852499,88.0
0.67403516,0.83701758,0.67403516,81.0
0.53667807,0.76833903,0.53667807,68.0
0.57833792,0.78916896,0.57833792,83.0
0.60202877,0.80101439,0.60202877,84.0
0.5430196,0.7715098,0.5430196,79.0
0.44685532,0.72342766,0.44685532,70.0
0.60172279,0.80086139,0.60172279,85.0
0.61447265,0.80723632,0.61447265,81.0
0.57269185,0.78634593,0.57269185,75.0
0.5268749,0.76343745,0.5268749,82.0
0.63631762,0.81815881,0.63631762,84.0
0.5862357,0.79311785,0.5862357,73.0
0.55635256,0.77817628,0.55635256,75.0
0.63364479,0.81682239,0.63364479,75.0
0.56591495,0.78295748,0.56591495,71.0
0.57061686,0.78530843,0.57061686,70.0
0.59734365,0.79867183,0.59734365,84.0
0.56133528,0.78066764,0.56133528,79.0
0.55161377,0.77580689,0.55161377,80.0
0.54549612,0.77274806,0.54549612,80.0
0.55034739,0.7751737,0.55034739,74.0
0.54747592,0.77373796,0.54747592,79.0
0.53207488,0.76603744,0.53207488,79.0
0.63367282,0.81683641,0.63367282,78.0
0.57655195,0.78827598,0.57655195,82.0
0.54229875,0.77114938,0.54229875,76.0
0.6117232,0.8058616,0.6117232,79.0
0.58941905,0.79470953,0.58941905,83.0
0.56094657,0.78047329,0.56094657,75.0
