theta,p_forced,q,y_rep
0.78250552,0.45577343,0.88163372,93.0
0.54731892,0.49489788,0.77134983,76.0
0.60634321,0.46580845,0.78971187,85.0
0.64812742,0.3861725,0.78401093,82.0
0.75550038,0.32617975,0.83525121,86.0
0.70844465,0.38470827,0.82060841,75.0
0.44543881,0.59912893,0.77769246,80.0
0.66450983,0.57051709,0.8559127,86.0
0.55579597,0.58759068,0.81680612,84.0
0.57165579,0.60044399,0.8288525,91.0
0.59571968,0.45735232,0.78061822,80.0
0.63892299,0.42085968,0.79088575,81.0
0.72451321,0.41025318,0.83753254,89.0
0.24358591,0.6525532,0.73718634,78.0
0.26264039,0.66408588,0.75231049,74.0
0.28921768,0.6283159,0.73581351,73.0
0.32801672,0.66058277,0.7719173,87.0
0.37482631,0.5906637,0.74409372,76.0
0.72944837,0.52121609,0.87046423,89.0
0.46394426,0.46782174,0.71472279,65.0
0.44891927,0.58180262,0.76953949,76.0
0.28252397,0.65608545,0.75324956,74.0
0.42547852,0.59986766,0.77011538,76.0
0.38110173,0.57240388,0.7353615,81.0
0.63423905,0.54735688,0.83444082,82.0
0.49709435,0.53588059,0.76659173,78.0
0.76357518,0.38039927,0.85351101,82.0
0.40217612,0.65014127,0.7908461,84.0
0.58201122,0.48908219,0.78644209,77.0
0.36049515,0.60325905,0.74628224,74.0
0.35176626,0.53038201,0.69557777,68.0
0.47384767,0.56661042,0.77197106,79.0
0.56476834,0.54605193,0.80242743,75.0
0.58284434,0.55470672,0.81424339,84.0
0.66425081,0.5108944,0.83578319,83.0
0.4759848,0.5942488,0.7873802,81.0
0.48246065,0.59091028,0.78827997,76.0
0.58940445,0.52292541,0.8041153,83.0
0.6171843,0.57820933,0.83853191,85.0
0.4696871,0.51345265,0.74197767,74.0
0.48746573,0.51248862,0.75013371,79.0
0.42227987,0.47797924,0.6984181,71.0
0.43513611,0.56907725,0.7565873,73.0
0.46784417,0.5923905,0.78308823,77.0
0.57947106,0.46759098,0.7761066,71.0
0.5534659,0.49790498,0.77579745,79.0
0.63478845,0.47265534,0.80740764,82.0
0.54320522,0.44121482,0.74474985,79.0
0.56999747,0.54719903,0.80529444,88.0
0.5062388,0.51783162,0.76192396,75.0
0.5740721,0.57800163,0.82025912,84.0
0.68956556,0.41739062,0.81913798,83.0
0.62997201,0.55741081,0.83622961,83.0
0.63302842,0.52162234,0.82444899,87.0
0.6836835,0.53557186,0.85309372,89.0
0.66463009,0.43373458,0.81009161,84.0
0.56237415,0.4091191,0.74141524,73.0
0.57892828,0.41566873,0.75395462,77.0
0.55438559,0.40822876,0.73629821,77.0
0.62805945,0.38961989,0.77297489,82.0
0.50689412,0.61032994,0.8078514,81.0
0.58733888,0.63721573,0.85029304,84.0
0.59572346,0.63214049,0.85128303,85.0
0.53002672,0.42049966,0.72765033,62.0
0.54471183,0.60376868,0.81960057,81.0
0.61430406,0.42562033,0.77846409,79.0
0.6495929,0.50403506,0.82621036,81.0
0.68157586,0.51569392,0.84578525,84.0
0.29660191,0.59279679,0.71357404,76.0
0.30782863,0.57044837,0.70267666,64.0
0.60163879,0.33958425,0.73691598,76.0
0.61751072,0.61088302,0.85116692,84.0
0.589427,0.56073577,0.81964997,78.0
0.73667677,0.35902489,0.83121636,85.0
0.68880574,0.35753204,0.80006766,83.0
0.67438005,0.44166735,0.81819575,84.0
0.68866716,0.3995197,0.81305077,82.0
0.50744247,0.57366597,0.79000596,77.0
0.36418511,0.63862948,0.77023524,73.0
0.5238138,0.67883342,0.84706491,84.0
0.52303166,0.68233607,0.84848437,85.0
0.56811665,0.47781545,0.77447719,84.0
0.5877081,0.5208867,0.80246546,76.0
0.62744271,0.44696523,0.79396286,87.0
0.66119725,0.45892423,0.81668204,79.0
0.50018787,0.53277059,0.76647307,77.0
0.57826252,0.55046344,0.81041358,83.0
0.56478038,0.51192238,0.78757904,75.0
0.65595867,0.46228587,0.81500412,78.0
0.64720852,0.52670869,0.83302686,87.0
0.69733393,0.49895411,0.84835041,85.0
0.65654101,0.43084231,0.80451767,78.0
0.59979087,0.42903276,0.7714937,77.0
0.54074651,0.52429087,0.78152892,78.0
0.60747533,0.55602659,0.82572948,85.0
0.54290604,0.61693832,0.82490482,83.0
0.55581522,0.52307609,0.78815766,76.0
0.52153674,0.44879735,0.73626978,73.0
0.56992223,0.42541202,0.75288248,78.0
0.6393344,0.51452489,0.82490583,83.0
0.59506996,0.33489462,0.73067885,71.0
0.57150645,0.3985976,0.74230295,69.0
0.62156781,0.45279518,0.79292008,74.0
0.57123934,0.50513708,0.78782225,82.0
0.70780791,0.4202642,0.83060578,77.0
0.52441694,0.49794919,0.76123314,80.0
0.46844846,0.55663761,0.76433004,76.0
0.52650461,0.60527237,0.81309829,79.0
0.53324566,0.60051455,0.81353843,75.0
0.52827399,0.50985318,0.768785,80.0
0.54513737,0.5990763,0.81763479,83.0
0.50722462,0.5406308,0.77363417,81.0
0.55380003,0.55687213,0.80227636,78.0
0.36097968,0.54840292,0.71142028,73.0
0.3269064,0.59999799,0.73076121,71.0
0.36489435,0.59149354,0.74055524,78.0
0.39827824,0.61248607,0.76682444,78.0
0.51764485,0.5672281,0.79125024,72.0
0.46468067,0.57361546,0.77174811,76.0
0.53890493,0.53258714,0.78447824,78.0
0.57621352,0.51808366,0.79577037,81.0
0.50842865,0.54013673,0.77394439,76.0
0.51660447,0.52082413,0.76836853,76.0
0.57543874,0.45828063,0.77000694,69.0
0.69657633,0.496606,0.84725835,84.0
0.63211049,0.48864871,0.81187923,80.0
0.58694475,0.54041456,0.81016582,80.0
0.52418202,0.50689265,0.76537066,73.0
0.64329029,0.42734146,0.79572714,78.0
0.64329029,0.42734146,0.79572714,81.0
0.61312354,0.38067612,0.76039817,80.0
0.50505197,0.46318478,0.73430436,72.0
0.46889365,0.5530445,0.7626191,78.0
0.59726686,0.42481788,0.7683551,73.0
0.54680006,0.39141868,0.72419098,72.0
0.5549524,0.39782789,0.73200474,80.0
0.52553488,0.42819725,0.72869954,69.0
0.49153432,0.41388945,0.7019829,65.0
0.50251809,0.44285979,0.72283282,67.0
0.59825791,0.58684854,0.83401967,75.0
0.6157063,0.53786581,0.82240474,85.0
0.55919291,0.54471429,0.79930683,79.0
0.56742422,0.54198557,0.80187405,85.0
0.55746128,0.52501624,0.78980129,75.0
0.47499508,0.59612868,0.78796557,82.0
0.66436633,0.53996661,0.84559731,84.0
0.49862454,0.52707854,0.76288878,75.0
0.4843576,0.52030897,0.75265097,73.0
0.50707533,0.61204771,0.80876874,85.0
0.4389136,0.56478418,0.75580632,81.0
0.66636841,0.44725477,0.81558673,91.0
0.59545167,0.47054029,0.78580796,82.0
0.61702114,0.46118789,0.79364635,76.0
0.54627928,0.47382309,0.76126263,74.0
0.55013865,0.48328227,0.76754866,77.0
0.48711177,0.45182604,0.71884803,76.0
0.55803547,0.55149802,0.80177803,78.0
0.5440469,0.5507688,0.79517164,76.0
0.47810836,0.49134294,0.73453613,76.0
0.503117,0.43525786,0.71938923,81.0
0.44005161,0.45148401,0.69285935,71.0
0.45394163,0.4618773,0.70615359,67.0
0.57498067,0.48846394,0.78258729,82.0
0.62799603,0.51490211,0.81954166,84.0
0.73606057,0.40501978,0.84296126,82.0
0.79383031,0.45623316,0.88789176,91.0
0.77961623,0.44685152,0.87809505,93.0
0.38247058,0.55152068,0.72305083,65.0
0.71843826,0.52134246,0.86522835,86.0
0.55225243,0.32191711,0.69639004,68.0
0.49137323,0.5630468,0.77775391,75.0
0.48694685,0.54760096,0.76789525,72.0
0.53319764,0.57975829,0.80383018,78.0
0.50416593,0.57681772,0.79017181,75.0
0.62804721,0.43109152,0.78839291,88.0
0.63084963,0.40072744,0.77877831,71.0
0.59296566,0.59000967,0.83311986,84.0
0.65341166,0.50040754,0.82684708,77.0
0.51874266,0.57747451,0.7966565,80.0
0.55805697,0.52066055,0.78815927,71.0
0.55747836,0.54067638,0.79673936,84.0
0.57247861,0.48687098,0.78062637,78.0
0.5690926,0.57408605,0.81647052,87.0
0.60460727,0.4961365,0.80077604,74.0
0.66356334,0.3564755,0.78349477,77.0
0.66252801,0.34362584,0.77849211,76.0
0.6976842,0.37381958,0.81069576,88.0
0.6956889,0.37883846,0.81097365,84.0
0.63689658,0.42800916,0.79230817,87.0
0.66980454,0.47395778,0.82630325,81.0
0.53814746,0.50439721,0.77110459,83.0
