theta,q,y_rep
0.56974311,0.78487155,72.0
0.7333999,0.86669995,83.0
0.68626911,0.84313455,89.0
0.71362163,0.85681082,88.0
0.58148678,0.79074339,77.0
0.5960481,0.79802405,83.0
0.57704101,0.78852051,77.0
0.63172941,0.81586471,84.0
0.68110947,0.84055473,81.0
0.46078683,0.73039342,71.0
0.41242701,0.7062135,66.0
0.44900619,0.7245031,77.0
0.44900619,0.7245031,76.0
0.44613316,0.72306658,68.0
0.48203076,0.74101538,74.0
0.44127528,0.72063764,78.0
0.44814116,0.72407058,64.0
0.55922698,0.77961349,81.0
0.65118596,0.82559298,78.0
0.55963446,0.77981723,73.0
0.55142382,0.77571191,78.0
0.61530514,0.80765257,82.0
0.58160089,0.79080045,86.0
0.60055761,0.8002788,80.0
0.54013378,0.77006689,78.0
0.51170817,0.75585408,69.0
0.66573489,0.83286744,83.0
0.56575401,0.782877,84.0
0.37284183,0.68642091,70.0
0.41665637,0.70832818,73.0
0.46347075,0.73173537,78.0
0.63940648,0.81970324,84.0
0.49674044,0.74837022,76.0
0.59503892,0.79751946,77.0
0.59503892,0.79751946,77.0
0.47969855,0.73984928,70.0
0.58247787,0.79123893,79.0
0.58247787,0.79123893,81.0
0.66849892,0.83424946,79.0
0.66762977,0.83381489,85.0
0.5510368,0.7755184,75.0
0.59075055,0.79537528,79.0
0.64164043,0.82082022,84.0
0.64309606,0.82154803,90.0
0.55620768,0.77810384,82.0
0.63197011,0.81598505,82.0
0.44009555,0.72004778,72.0
0.54705052,0.77352526,77.0
0.60828892,0.80414446,73.0
0.56624929,0.78312465,74.0
0.64238816,0.82119408,83.0
0.63064487,0.81532243,86.0
0.59744052,0.79872026,81.0
0.66357699,0.8317885,82.0
0.4946924,0.7473462,68.0
0.63754162,0.81877081,87.0
0.656864,0.828432,83.0
0.65119959,0.82559979,79.0
0.58646902,0.79323451,85.0
0.64338056,0.82169028,82.0
0.5745414,0.7872707,76.0
0.51214241,0.75607121,75.0
0.61693881,0.8084694,82.0
0.68976445,0.84488223,91.0
0.67738702,0.83869351,89.0
0.65416831,0.82708416,82.0
0.68576781,0.84288391,84.0
0.59467751,0.79733876,74.0
0.66395597,0.83197798,81.0
0.57451976,0.78725988,79.0
0.51449766,0.75724883,72.0
0.37126719,0.68563359,71.0
0.54852125,0.77426062,74.0
0.59162766,0.79581383,79.0
0.60654884,0.80327442,85.0
0.54289578,0.77144789,81.0
0.49744763,0.74872382,69.0
0.57498978,0.78749489,75.0
0.61156647,0.80578323,74.0
0.67107241,0.83553621,84.0
0.60995768,0.80497884,75.0
0.58208146,0.79104073,84.0
0.63166305,0.81583152,88.0
0.58427006,0.79213503,78.0
0.69836009,0.84918005,83.0
0.64068015,0.82034007,84.0
0.63404853,0.81702426,82.0
0.63316209,0.81658105,86.0
0.59597358,0.79798679,80.0
0.55828292,0.77914146,76.0
0.52431094,0.76215547,77.0
0.52212715,0.76106357,73.0
0.62866863,0.81433432,79.0
0.53602649,0.76801324,79.0
0.63425462,0.81712731,78.0
0.58737627,0.79368814,79.0
0.63234916,0.81617458,87.0
0.62681244,0.81340622,80.0
0.64584457,0.82292228,85.0
0.56477974,0.78238987,82.0
0.5481553,0.77407765,87.0
0.65779459,0.82889729,83.0
0.65883971,0.82941986,87.0
0.57214955,0.78607477,77.0
0.56590954,0.78295477,71.0
0.60758298,0.80379149,77.0
0.55942807,0.77971403,79.0
0.50419437,0.75209719,72.0
0.57358997,0.78679499,77.0
0.60248049,0.80124024,81.0
0.64575596,0.82287798,76.0
0.57888003,0.78944002,83.0
0.64079415,0.82039707,86.0
0.64645041,0.8232252,84.0
0.5363454,0.7681727,77.0
0.62278997,0.81139499,81.0
0.50033385,0.75016693,70.0
0.45415939,0.72707969,74.0
0.44187425,0.72093712,80.0
0.4855093,0.74275465,65.0
0.5042139,0.75210695,70.0
0.48430412,0.74215206,72.0
0.57241941,0.7862097,77.0
0.68440294,0.84220147,83.0
0.53772765,0.76886382,76.0
0.64440126,0.82220063,84.0
0.6377328,0.8188664,83.0
0.62562578,0.81281289,89.0
0.57902012,0.78951006,76.0
0.60561663,0.80280832,80.0
0.6019394,0.8009697,80.0
0.59374052,0.79687026,72.0
0.61687806,0.80843903,80.0
0.47966587,0.73983294,75.0
0.57136465,0.78568233,79.0
0.57136465,0.78568233,80.0
0.5819268,0.7909634,63.0
0.6297579,0.81487895,85.0
0.59510002,0.79755001,73.0
0.63862715,0.81931358,81.0
0.49674461,0.7483723,71.0
0.64248761,0.82124381,82.0
0.64946951,0.82473475,85.0
0.4746623,0.73733115,79.0
0.70589237,0.85294619,89.0
0.57011269,0.78505634,79.0
0.60694726,0.80347363,79.0
0.53230456,0.76615228,79.0
0.57515402,0.78757701,76.0
0.51253833,0.75626917,83.0
0.62950412,0.81475206,79.0
0.63634014,0.81817007,76.0
0.72608732,0.86304366,86.0
0.71265858,0.85632929,85.0
0.56594732,0.78297366,77.0
0.5993367,0.79966835,80.0
0.58130923,0.79065461,78.0
0.64635909,0.82317955,80.0
0.63121236,0.81560618,83.0
0.62206735,0.81103367,75.0
0.61143372,0.80571686,87.0
0.55000008,0.77500004,78.0
0.67691407,0.83845704,89.0
0.69036039,0.84518019,84.0
0.60507364,0.80253682,79.0
0.56631759,0.78315879,75.0
0.58795869,0.79397935,70.0
0.66028341,0.8301417,87.0
0.67882345,0.83941172,85.0
0.65496247,0.82748123,86.0
0.57369493,0.78684746,75.0
0.57393497,0.78696749,73.0
0.60800216,0.80400108,84.0
0.48360583,0.74180292,79.0
0.46716609,0.73358305,70.0
0.45824969,0.72912484,73.0
0.4251287,0.71256435,72.0
0.73950109,0.86975054,88.0
0.74506883,0.87253442,85.0
0.75588361,0.8779418,83.0
0.73735407,0.86867704,90.0
0.65639867,0.82819933,85.0
0.5958725,0.79793625,90.0
0.42437529,0.71218765,75.0
0.62140003,0.81070001,85.0
0.51470948,0.75735474,71.0
0.52060105,0.76030053,71.0
0.63083453,0.81541726,83.0
0.41768499,0.70884249,71.0
0.64560168,0.82280084,84.0
0.66675749,0.83337875,88.0
0.67878799,0.83939399,84.0
0.44321462,0.72160731,75.0
0.44607562,0.72303781,76.0
0.48375921,0.74187961,75.0
0.6167927,0.80839635,81.0
0.6167927,0.80839635,86.0
0.63026958,0.81513479,77.0
0.57228856,0.78614428,82.0
0.6656635,0.83283175,77.0
0.70330191,0.85165096,81.0
0.5147207,0.75736035,72.0
0.44363568,0.72181784,67.0
0.47423444,0.73711722,79.0
0.4996746,0.7498373,73.0
0.49759802,0.74879901,70.0
0.47816047,0.73908024,73.0
0.49263804,0.74631902,78.0
0.68494576,0.84247288,82.0
0.68995144,0.84497572,88.0
0.68806266,0.84403133,88.0
0.68819735,0.84409868,85.0
0.65613872,0.82806936,82.0
0.63800089,0.81900044,76.0
0.63414883,0.81707442,89.0
0.63372206,0.81686103,78.0
0.54366847,0.77183423,75.0
0.53009198,0.76504599,77.0
0.60133142,0.80066571,76.0
0.65123761,0.8256188,83.0
0.64221587,0.82110794,86.0
0.57097208,0.78548604,77.0
0.62025455,0.81012728,81.0
0.58817595,0.79408798,78.0
0.50348378,0.75174189,82.0
0.47068919,0.73534459,75.0
0.64048096,0.82024048,83.0
0.66009531,0.83004765,80.0
0.63674446,0.81837223,85.0
0.55766432,0.77883216,77.0
0.54751981,0.7737599,70.0
0.62951293,0.81475647,69.0
0.58455072,0.79227536,79.0
0.57814878,0.78907439,81.0
0.5760387,0.78801935,78.0
0.58222408,0.79111204,74.0
0.49456914,0.74728457,77.0
0.59213269,0.79606635,81.0
0.61628173,0.80814087,75.0
0.62995166,0.81497583,80.0
0.57075443,0.78537721,78.0
0.74334148,0.87167074,89.0
0.74971425,0.87485713,87.0
0.62286354,0.81143177,85.0
0.55636616,0.77818308,71.0
0.42508037,0.71254019,68.0
0.46759054,0.73379527,78.0
0.50335507,0.75167754,67.0
0.63968284,0.81984142,72.0
0.67635063,0.83817532,84.0
0.64658779,0.82329389,78.0
0.60056388,0.80028194,79.0
0.60339843,0.80169921,78.0
0.62757522,0.81378761,81.0
0.59509601,0.797548,88.0
0.6042341,0.80211705,83.0
0.5832039,0.79160195,78.0
0.63221059,0.8161053,81.0
0.63112803,0.81556401,83.0
0.67613934,0.83806967,82.0
0.67174615,0.83587307,87.0
0.67250807,0.83625403,85.0
0.70613536,0.85306768,89.0
0.70154458,0.85077229,86.0
0.48056072,0.74028036,70.0
0.53427276,0.76713638,78.0
0.61716799,0.808584,73.0
0.50110788,0.75055394,77.0
0.49536441,0.7476822,75.0
0.49709063,0.74854531,79.0
0.46266213,0.73133106,73.0
0.44500732,0.72250366,72.0
0.45943429,0.72971715,75.0
0.46018527,0.73009263,78.0
0.57709318,0.78854659,75.0
0.59910273,0.79955136,75.0
0.59791693,0.79895846,85.0
0.64802441,0.82401221,87.0
0.54020743,0.77010372,74.0
0.50275894,0.75137947,76.0
0.76820743,0.88410372,89.0
0.78677261,0.8933863,86.0
0.75545331,0.87772665,90.0
0.72346554,0.86173277,81.0
0.66598702,0.83299351,87.0
0.64865821,0.8243291,90.0
0.73448612,0.86724306,85.0
0.57087773,0.78543887,68.0
0.6681835,0.83409175,82.0
0.66220865,0.83110433,80.0
0.56131667,0.78065833,70.0
0.60986897,0.80493449,77.0
0.60986897,0.80493449,88.0
0.65203562,0.82601781,87.0
0.66343852,0.83171926,81.0
0.54709641,0.77354821,75.0
0.58952305,0.79476152,84.0
0.62055656,0.81027828,75.0
0.64650001,0.82325,89.0
0.55322665,0.77661332,78.0
0.59078924,0.79539462,85.0
0.53723596,0.76861798,75.0
0.52541656,0.76270828,81.0
0.62893744,0.81446872,88.0
0.54779673,0.77389836,81.0
0.54130587,0.77065293,79.0
0.67142162,0.83571081,80.0
0.58204103,0.79102051,72.0
0.54802593,0.77401296,75.0
0.5961439,0.79807195,89.0
0.65879516,0.82939758,80.0
0.60120904,0.80060452,82.0
0.66354194,0.83177097,86.0
0.63920288,0.81960144,77.0
0.59857487,0.79928744,73.0
0.58797152,0.79398576,76.0
0.48306176,0.74153088,67.0
0.50817986,0.75408993,76.0
0.50122125,0.75061063,71.0
0.58229497,0.79114749,78.0
0.55020819,0.7751041,81.0
0.6101366,0.8050683,81.0
0.6101366,0.8050683,75.0
0.5571093,0.77855465,81.0
0.58602834,0.79301417,85.0
0.6891438,0.8445719,84.0
0.50874085,0.75437043,79.0
0.67036377,0.83518189,85.0
0.70079113,0.85039556,87.0
0.57862288,0.78931144,75.0
0.60215123,0.80107562,75.0
0.4946015,0.74730075,68.0
0.44548734,0.72274367,72.0
0.60578909,0.80289454,83.0
0.61041685,0.80520843,77.0
0.40264307,0.70132154,69.0
0.56269997,0.78134998,75.0
0.51552892,0.75776446,73.0
0.50999286,0.75499643,80.0
0.55915598,0.77957799,81.0
0.56856576,0.78428288,74.0
0.55400681,0.77700341,83.0
0.5623733,0.78118665,73.0
0.56451679,0.78225839,81.0
0.55138444,0.77569222,77.0
0.61448614,0.80724307,82.0
0.57698326,0.78849163,83.0
0.59342933,0.79671467,77.0
0.62780666,0.81390333,80.0
0.64297965,0.82148983,82.0
0.62461135,0.81230567,83.0
0.61739774,0.80869887,87.0
0.54487066,0.77243533,80.0
0.74296819,0.87148409,86.0
0.74230924,0.87115462,91.0
0.73172965,0.86586483,89.0
0.61390884,0.80695442,79.0
0.58856138,0.79428069,81.0
0.57053421,0.78526711,79.0
0.61851792,0.80925896,81.0
0.71937661,0.8596883,90.0
0.78298104,0.89149052,84.0
0.62100975,0.81050487,78.0
0.56480568,0.78240284,78.0
0.48661548,0.74330774,73.0
0.7069031,0.85345155,80.0
0.7069031,0.85345155,89.0
0.66696065,0.83348032,85.0
0.515223,0.7576115,76.0
0.48367121,0.7418356,79.0
0.45482744,0.72741372,79.0
0.66202943,0.83101472,86.0
0.57545891,0.78772945,76.0
0.57545891,0.78772945,74.0
0.52712651,0.76356325,76.0
0.58159943,0.79079971,79.0
0.60133816,0.80066908,84.0
